name,slug,type,inhouse
Miyota Caliber 6S30,miyota-caliber-6s30,Quartz,
Miyota Caliber 6S50,miyota-caliber-6s50,Quartz,
Miyota Caliber 9U13,miyota-caliber-9u13,Quartz,
Miyota Caliber FS00,miyota-caliber-fs00,Quartz,
Miyota Caliber JS06,miyota-caliber-js06,Quartz,
Miyota Caliber Super 2035,miyota-caliber-super-2035,Quartz,
Mondaine Caliber 58-02,mondaine-caliber-58-02,Quartz,
Omega Caliber 1310,omega-caliber-1310,Quartz,
Omega Caliber 1342,omega-caliber-1342,Quartz,
Omega Caliber 1424,omega-caliber-1424,Quartz,
Omega Caliber 1532,omega-caliber-1532,Quartz,
Omega Caliber 1538,omega-caliber-1538,Quartz,
Omega Caliber 1680,omega-caliber-1680,Quartz,
Omega Caliber 4564,omega-caliber-4564,Quartz,
Omega Caliber 5619,omega-caliber-5619,Quartz,
Rolex Caliber 6620,rolex-caliber-6620,Quartz,
Rolex Caliber 6621,rolex-caliber-6621,Quartz,
Ronda 500 Series,ronda-500-series,Quartz,
Ronda Caliber 1019,ronda-caliber-1019,Quartz,
Ronda Caliber 3520.D,ronda-caliber-3520-d,Quartz,
Ronda Caliber 3540.D,ronda-caliber-3540-d,Quartz,
Ronda Caliber 4120.B,ronda-caliber-4120-b,Quartz,
Ronda Caliber 5021.D,ronda-caliber-5021-d,Quartz,
Ronda Caliber 5030.D,ronda-caliber-5030-d,Quartz,
Ronda Caliber 5040.B,ronda-caliber-5040-b,Quartz,
Ronda Caliber 5040.D,ronda-caliber-5040-d,Quartz,
Ronda Caliber 5050.B,ronda-caliber-5050-b,Quartz,
Ronda Caliber 5050.C,ronda-caliber-5050-c,Quartz,
Ronda Caliber 5050.E,ronda-caliber-5050e,Quartz,
Ronda Caliber 509,ronda-caliber-509,Quartz,
Ronda Caliber 513,ronda-caliber-513,Quartz,
Ronda Caliber 5130.D,ronda-caliber-5130-d,Quartz,
Ronda Caliber 513S,ronda-caliber-513s,Quartz,
Ronda Caliber 515,ronda-caliber-515,Quartz,
Ronda Caliber 515.24H,ronda-caliber-515-24h,Quartz,
Ronda Caliber 515S,ronda-caliber-515s,Quartz,
Ronda Caliber 519,ronda-caliber-519,Quartz,
Ronda Caliber 519S,ronda-caliber-519s,Quartz,
Ronda Caliber 6004.B,ronda-caliber-6004-b,Quartz,
Ronda Caliber 6203.B,ronda-caliber-6203-b,Quartz,
Ronda Caliber 705,ronda-caliber-705,Quartz,
Ronda Caliber 706.4,ronda-caliber-706-4,Quartz,
Ronda Caliber 708,ronda-caliber-708,Quartz,
Ronda Caliber 712,ronda-caliber-712,Quartz,
Ronda Caliber 715,ronda-caliber-715,Quartz,
Ronda Caliber 732,ronda-caliber-732,Quartz,
Ronda Caliber 756,ronda-caliber-756,Quartz,
Ronda Caliber 762E,ronda-caliber-762e,Quartz,
Ronda Caliber 763,ronda-caliber-763,Quartz,
Ronda Caliber 763E,ronda-caliber-763e,Quartz,
Ronda Caliber 785,ronda-caliber-785,Quartz,
Ronda Caliber 8040.N,ronda-caliber-8040-n,Quartz,
Ronda Caliber Z60,ronda-caliber-z60,Quartz,
S. Epson Caliber VX36,seiko-epson-caliber-vx36,Quartz,
S. Epson Corp. Caliber Y120G,s-epson-corp-caliber-y120g,Quartz,
S. Epson Corp. Caliber Y121E,s-epson-corp-caliber-y121e,Quartz,
S. Epson Corp. Caliber YM12A,seiko-epson-caliber-ym12a,Quartz,
S. Epson Corp. Caliber YM62A,s-epson-corp-caliber-ym62a,Quartz,
S.  EpsonHattori Caliber VR34,epson-hattori-caliber-vr34/,Quartz,
Seiko Caliber 1B21,seiko-caliber-1b21,Quartz,
Seiko Caliber 5K65,seiko-caliber-5k65,Quartz,
Seiko Caliber 5M62A,seiko-caliber-5m62a,Quartz,
Seiko Caliber 5M82,seiko-caliber-5m82,Quartz,
Seiko Caliber 5S21A,seiko-caliber-5s21a,Quartz,
Seiko Caliber 5X53,seiko-caliber-5x53,Quartz,
Seiko Caliber 5Y23A,seiko-caliber-5y23a,Quartz,
Seiko Caliber 5Y66,seiko-caliber-5y66,Quartz,
Seiko Caliber 6532A,seiko-caliber-6532a,Quartz,
Seiko Caliber 6F22,seiko-caliber-6f22,Quartz,
Seiko Caliber 6N33,seiko-caliber-6n33,Quartz,
Seiko Caliber 6N52,seiko-caliber-6n52,Quartz,
Seiko Caliber 6N53,seiko-caliber-6n53,Quartz,
Seiko Caliber 6N76,seiko-caliber-6n76,Quartz,
Seiko Caliber 7A28A,seiko-caliber-7a28,Quartz,
Seiko Caliber 7C46,seiko-caliber-7c46,Quartz,
Seiko Caliber 7T62,seiko-caliber-7t62,Quartz,
Seiko Caliber 7T92,seiko-caliber-7t92,Quartz,
Seiko Caliber 7X52,seiko-caliber-7x52,Quartz,
Seiko Caliber 8229A,seiko-caliber-8229,Quartz,
Seiko Caliber 8B43,seiko-caliber-8b43,Quartz,
Seiko Caliber 8J41,seiko-caliber-8j41,Quartz,
Seiko Caliber 8J42,seiko-caliber-8j42,Quartz,
Seiko Caliber 8J55,seiko-caliber-8j55,Quartz,
Seiko Caliber 8S21,seiko-caliber-8s21,Quartz,
Seiko Caliber 8S23,seiko-caliber-8s23,Quartz,
Seiko Caliber 8T63,seiko-caliber-8t63,Quartz,
Seiko Caliber 8T68,seiko-caliber-8t68,Quartz,
Seiko Caliber D229,seiko-caliber-d229,Quartz,
Seiko Caliber PC32A,seiko-caliber-pc32a,Quartz,
Seiko Caliber V147,seiko-caliber-v147,Quartz,
Seiko Caliber V157,seiko-caliber-v157,Quartz,
Seiko Caliber V158,seiko-caliber-v158,Quartz,
Seiko Caliber V175,seiko-caliber-v175,Quartz,
Seiko Caliber V192,seiko-caliber-v192,Quartz,
Seiko Caliber V194,seiko-caliber-v194,Quartz,
Seiko Caliber VS22B,seiko-caliber-vs22b,Quartz,
Seiko Caliber VS42A,seiko-caliber-vs42a,Quartz,
Seiko Epson Caliber VX43E,seiko-epson-caliber-vx43e,Quartz,
Seiko Instruments (SII) Caliber VK67,hattori-sii-caliber-vk67,Quartz,
Seiko Instruments (SIITMI) Caliber VH60,seiko-tmi-caliber-vh60/,Quartz,
Shinola Caliber Argonite 1069,shinola-caliber-argonite-1069,Quartz,
Shinola Caliber Argonite 5021,shinola-caliber-argonite-5021,Quartz,
Shinola Caliber Argonite 515.24H,shinola-caliber-argonite-515-24h,Quartz,
SII Caliber VD55B,sii-caliber-vd55b,Quartz,
SII Hattori Caliber VK64A,seiko-caliber-vk64a,Quartz,
SIITMI Caliber PC21J,seiko-caliber-pc21j/,Quartz,
SII/TMI/EpsonHattori caliber VD85,seiko-caliber-vd85/,Quartz,
Slava Caliber 2356,slava-caliber-2356,Quartz,
TAG Heuer Calibre S,tag-heuer-calibre-s,Quartz,
