name,type,inhouse
Omega Caliber 8500,Automatic,
Omega Caliber 8508,Automatic,
Omega Caliber 8520,Automatic,
Omega Caliber 8521,Automatic,
Omega Caliber 8605,Automatic,
Omega Caliber 8800,Automatic,
Omega Caliber 8801,Automatic,
Omega Caliber 8802,Automatic,
Omega Caliber 8803,Automatic,
Omega Caliber 8804,Automatic,
Omega Caliber 9300,Automatic,
Omega Caliber 9900,Automatic,
Omega Caliber 9904,Automatic,
Omega Caliber 9920,Automatic,
Orient Caliber 40N52,Automatic,
Orient Caliber 46941,Automatic,
Orient Caliber 55741,Automatic,
Orient Caliber F4902,Automatic,
Orient Caliber F6222,Automatic,
Orient Caliber F6722,Automatic,
Orient Caliber F6724,Automatic,
Orient Caliber F6922,Automatic,
Orient Caliber F6B22,Automatic,
Orient Caliber F6B24,Automatic,
Orient Caliber F6L24,Automatic,
Orient Caliber F6N43,Automatic,
Orient Caliber F6N47,Automatic,
Orient Caliber F6T22,Automatic,
Oris Caliber 400,Automatic,
Oris Caliber 401,Automatic,
Oris Caliber 641,Automatic,
Oris Caliber 644,Automatic,
Oris Caliber 645,Automatic,
Oris Caliber 674,Automatic,
Oris Caliber 677,Automatic,
Oris Caliber 732,Automatic,
Oris Caliber 733,Automatic,
Oris Caliber 735,Automatic,
Oris Caliber 743,Automatic,
Oskar Pascal Caliber OP-X,Automatic,
Panerai Caliber P.4000,Automatic,
Panerai Caliber P.9000,Automatic,
Panerai Caliber P.9002,Automatic,
Patek Philippe Caliber 31-260 PS FUS 24H,Automatic,
Patek Philippe Caliber PP 240,Automatic,
PBR Caliber PBR D-82,Automatic,
Poljot Caliber 2416 “Kosmos”,Automatic,
PTS Resources Caliber DG-2813,Automatic,
PTS Resources Caliber G3265ZH,Automatic,
PTS Resources Caliber LTTR001,Automatic,
PTS Resources LTD Caliber PTS Z2031,Automatic,
Rado Caliber 657,Automatic,
Raymond Weil Caliber RW1212,Automatic,
Raymond Weil Caliber RW4251,Automatic,
Raymond Weil Caliber RW4280,Automatic,
Raymond Weil Caliber RW5200,Automatic,
Rolex Caliber 1570,Automatic,
